This file was created by CMPT_ME_PRIOR_RETS using the 202208 CRSP database.
It contains value- weighted returns for the intersections of  2 ME portfolios
and  3 prior return portfolios.

The portfolios are constructed monthly.  ME is market cap at the end of the
previous month.  PRIOR_RET is from -12 to - 2.

Missing data are indicated by -99.99 or -999.


  Average Value Weighted Returns -- Monthly
,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
200808,   7.45,   4.63,   0.64,   1.21,   2.70,  -0.04
200809,  -9.83,  -6.57,  -9.94, -12.16,  -6.21, -11.49
200810, -25.73, -20.91, -19.18, -23.81, -15.65, -14.67
200811, -17.18, -13.56,  -9.75, -14.47,  -4.61,  -7.56
200812,   9.69,   5.19,   4.53,   4.88,   2.26,  -0.15
200901,  -7.83,  -9.82, -12.20,  -7.85,  -8.09,  -7.86
200902, -16.03, -12.21, -12.03, -13.84, -10.11,  -9.04
200903,  18.58,  11.50,   7.65,  18.68,  10.60,   5.88
200904,  46.43,  22.39,   9.00,  33.61,  13.87,   2.44
200905,  14.92,   3.73,   1.30,  14.37,   5.88,   3.02
200906,  -0.56,   2.95,   3.15,  -6.01,   0.81,   1.25
200907,  14.39,  10.18,   8.07,  11.00,   7.79,   6.22
200908,  11.53,   3.57,  -0.29,   8.49,   3.16,   2.18
200909,  10.82,   5.66,   4.88,   6.90,   3.61,   3.26
200910,  -7.98,  -5.58,  -8.49,  -7.07,  -1.22,  -1.34
200911,   2.23,   2.19,   3.26,   6.28,   5.56,   5.86
200912,   8.67,   7.11,   9.71,  -0.46,   3.43,   4.52
201001,  -0.76,  -3.44,  -4.59,  -0.23,  -3.37,  -7.19
201002,   2.99,   4.10,   6.59,   1.54,   3.58,   5.43
201003,   8.24,   7.57,   9.53,   4.44,   5.84,  10.66
201004,   5.81,   5.84,   8.39,   1.04,   0.89,   4.78
201005,  -7.92,  -6.89,  -7.97,  -7.74,  -7.89,  -8.19
201006,  -7.48,  -6.64, -10.42,  -4.20,  -5.66,  -6.77
201007,   6.07,   6.41,   9.01,   7.29,   6.44,   8.11
201008,  -7.84,  -7.51,  -7.21,  -4.07,  -4.58,  -4.81
201009,  13.31,  12.18,  13.50,   8.80,   8.57,  11.44
201010,   3.44,   3.49,   4.48,   2.14,   4.27,   4.26
201011,   2.44,   2.65,   4.63,  -0.39,  -0.30,   2.74
201012,  10.99,   8.31,   7.31,   7.97,   6.04,   5.59
201101,  -0.66,   0.25,   0.45,   2.72,   2.39,   1.03
201102,   3.68,   5.01,   6.05,   1.75,   4.67,   3.37
201103,  -0.30,   2.95,   4.32,  -0.82,   0.44,   1.35
201104,   1.61,   2.62,   2.13,   2.88,   3.35,   2.45
201105,  -2.13,  -1.34,  -2.06,  -0.58,  -1.12,  -1.89
201106,  -3.63,  -1.53,  -1.60,  -2.58,  -1.52,  -1.06
201107,  -4.34,  -3.99,  -3.12,  -1.50,  -2.45,  -2.35
201108, -10.04,  -7.81,  -9.96,  -6.36,  -4.67,  -6.99
201109, -10.87, -10.01, -13.43,  -7.43,  -6.11,  -9.72
201110,  15.70,  15.23,  17.53,  14.73,  10.46,  10.04
201111,  -2.58,  -0.18,   0.28,  -4.02,  -0.06,   0.79
201112,  -0.38,   1.28,   0.15,  -2.57,   1.59,   0.51
201201,  11.93,   6.47,   6.47,  12.92,   5.08,   2.55
201202,   3.28,   2.54,   3.81,   5.59,   4.14,   4.48
201203,   1.82,   2.92,   3.02,   2.77,   2.29,   4.17
201204,  -3.31,  -1.61,  -0.55,  -4.45,  -0.93,   0.30
201205, -10.17,  -5.89,  -5.18, -12.13,  -6.47,  -4.13
201206,   6.05,   4.61,   4.16,   3.38,   4.72,   3.15
201207,  -4.24,  -1.17,  -0.34,  -0.67,   1.03,   1.51
201208,   4.89,   2.54,   3.33,   4.46,   3.53,   1.28
201209,   4.14,   3.12,   3.63,   4.26,   2.33,   2.49
201210,  -3.26,  -2.40,  -0.95,  -0.37,  -1.72,  -2.41
201211,   1.08,   0.81,   0.79,  -0.21,   0.67,   1.05
201212,   4.94,   3.41,   2.65,   3.84,   0.69,   0.41
201301,   6.25,   5.93,   6.73,   7.57,   5.96,   3.51
201302,   0.88,   1.23,   1.48,  -0.36,   1.60,   1.63
201303,   3.98,   5.01,   6.27,   3.64,   3.51,   5.21
201304,  -0.28,  -0.76,  -0.16,   1.49,   1.76,   1.80
201305,   7.68,   4.24,   4.80,   3.57,   2.36,   2.41
201306,  -0.24,   0.38,   0.59,  -2.65,  -0.44,  -2.44
201307,   7.22,   7.36,   8.42,   4.76,   5.10,   7.08
201308,  -3.20,  -2.95,  -2.41,  -2.25,  -2.80,  -3.01
201309,   5.01,   5.83,   7.53,   1.90,   4.00,   5.49
201310,   2.16,   3.77,   2.08,   3.46,   5.17,   3.70
201311,   4.75,   5.05,   4.62,   2.45,   3.12,   3.46
201312,   2.93,   1.78,   2.87,   2.87,   2.42,   2.97
201401,  -2.76,  -3.66,  -2.64,  -4.97,  -3.31,  -1.67
201402,   4.05,   3.72,   5.44,   3.94,   4.13,   6.69
201403,   0.59,   1.58,  -1.26,   2.14,   1.56,  -2.58
201404,  -2.52,  -3.06,  -5.35,   2.60,   0.76,  -2.34
201405,   0.55,   0.88,  -0.45,   0.70,   2.42,   3.46
201406,   5.24,   5.17,   6.25,   2.59,   1.96,   2.95
201407,  -6.43,  -5.40,  -5.91,  -0.61,  -2.18,  -1.37
201408,   3.94,   4.55,   5.51,   4.24,   4.10,   4.31
201409,  -6.54,  -4.90,  -5.73,  -1.87,  -1.57,  -1.68
201410,   5.69,   7.77,   4.77,   1.37,   2.54,   2.17
201411,  -0.59,  -0.27,   0.26,   2.84,   2.14,   3.36
201412,   1.49,   3.05,   2.65,  -1.82,   0.41,  -0.74
201501,  -7.42,  -4.53,  -1.61,  -3.30,  -4.56,  -1.42
201502,   9.28,   6.35,   5.83,   7.74,   6.21,   5.56
201503,  -0.61,   1.64,   2.55,  -2.95,  -1.65,  -0.63
201504,   3.07,  -2.23,  -4.27,   5.89,   2.06,  -1.31
201505,  -0.95,   0.94,   4.54,  -2.95,   1.12,   3.21
201506,  -0.84,   1.38,   2.34,  -3.82,  -1.84,  -0.98
201507,  -8.72,  -1.43,   0.34,  -7.38,   2.55,   3.51
201508,  -4.70,  -4.43,  -6.74,  -4.21,  -6.33,  -6.35
201509, -11.90,  -4.41,  -4.76,  -5.79,  -2.17,  -2.49
201510,   8.80,   5.92,   4.26,   8.70,   8.23,   6.68
201511,   3.01,   3.55,   4.79,  -2.00,   0.52,   0.77
201512,  -6.63,  -4.63,  -5.04,  -5.69,  -2.33,  -0.55
201601, -12.29,  -9.31, -10.10,  -6.02,  -5.48,  -5.32
201602,   3.21,   1.39,  -1.81,   1.70,   1.28,  -2.04
201603,  12.88,   8.54,   6.20,   9.36,   7.26,   6.01
201604,   6.68,   1.96,   1.92,   6.73,   1.50,  -0.54
201605,  -0.03,   1.68,   1.69,   1.09,   1.56,   2.22
201606,  -1.88,  -0.95,   0.71,  -3.26,  -1.51,   2.43
201607,   7.49,   5.97,   5.05,   7.30,   3.94,   3.07
201608,   3.61,   2.52,   0.62,   2.89,   0.92,  -1.10
201609,   2.57,   1.39,   1.79,  -0.77,   0.18,   0.39
201610,  -7.36,  -3.71,  -4.87,  -1.35,  -1.42,  -2.65
201611,  11.60,  13.24,  10.12,   9.53,   3.89,   1.77
201612,   1.75,   4.02,   1.20,   1.22,   2.25,   1.25
201701,   1.91,  -0.53,   0.59,   2.38,   2.00,   1.83
201702,   2.88,   1.46,   0.98,   4.20,   3.68,   2.80
201703,   1.52,   0.89,  -0.29,  -0.13,   0.54,  -0.36
201704,   0.51,   1.91,   1.07,   0.55,   1.42,   0.94
201705,  -2.78,  -2.35,  -2.58,   0.05,   1.15,   2.81
201706,   3.84,   3.87,   4.51,   1.14,   0.63,   0.28
201707,  -0.12,   0.47,   1.24,   1.53,   0.94,   3.53
201708,  -3.37,  -1.18,  -0.44,  -2.19,   0.59,   1.41
201709,   7.52,   7.89,   7.07,   3.75,   2.40,   1.56
201710,  -2.06,   0.55,   1.39,  -0.76,   1.64,   4.34
201711,   3.32,   3.15,   2.88,   4.60,   2.86,   3.30
201712,   0.94,  -1.07,   0.94,   3.36,   1.66,   0.29
201801,   1.75,   2.17,   3.98,   2.64,   4.21,   8.52
201802,  -5.30,  -3.22,  -3.38,  -6.96,  -4.41,  -1.72
201803,   0.37,   1.56,   0.39,  -0.66,  -2.28,  -2.93
201804,   2.14,   0.61,   1.12,  -1.09,   0.54,   0.64
201805,   5.63,   4.94,   9.07,  -0.45,   2.35,   3.88
201806,   2.37,   0.41,   1.10,   3.07,   0.38,  -0.37
201807,   1.27,   1.91,   1.35,   4.63,   4.73,   1.73
201808,   2.72,   3.00,   6.39,   0.75,   1.63,   7.66
201809,  -2.01,  -2.85,  -2.43,   0.23,   0.28,   0.72
201810, -11.75,  -9.27, -12.03,  -5.54,  -5.71,  -9.25
201811,   2.65,   1.26,   0.84,   0.79,   3.77,  -0.15
201812, -14.21, -11.87, -11.35,  -9.91,  -9.62,  -8.57
201901,  17.81,  10.02,   8.94,  16.04,   7.74,   7.55
201902,   4.97,   5.79,   5.41,   2.73,   3.16,   4.01
201903,  -3.34,  -3.31,  -1.39,   0.08,   1.03,   2.54
201904,   3.49,   3.99,   1.48,   6.41,   5.32,   2.49
201905, -12.62,  -8.92,  -5.92, -13.28,  -7.09,  -4.85
201906,   7.81,   7.50,   7.45,  10.69,   7.31,   6.45
201907,  -3.13,   0.45,   2.46,   0.59,   2.38,   0.78
201908,  -8.94,  -5.66,  -3.58,  -8.28,  -3.79,   0.20
201909,   5.79,   3.98,  -2.04,   5.59,   3.13,  -0.21
201910,   0.16,   3.22,   3.47,   3.76,   3.49,   0.75
201911,   4.76,   4.61,   3.63,   6.79,   4.54,   2.60
201912,   6.11,   3.00,   3.47,   3.86,   2.59,   2.95
202001,  -7.21,  -4.44,  -1.60,  -4.34,  -0.34,   2.01
202002,  -8.98,  -9.74,  -7.64,  -5.74,  -8.44,  -7.89
202003, -25.62, -22.54, -22.79, -24.39, -12.90, -11.28
202004,  24.41,  13.62,  18.38,  17.18,  13.80,  12.75
202005,   8.44,   4.84,   7.22,   3.47,   5.25,   5.54
202006,   5.37,   3.29,   5.21,   4.86,  -1.32,   3.56
202007,  -0.06,   2.75,   4.79,  -3.00,   4.00,   7.37
202008,   7.88,   5.28,   4.91,   5.11,   4.78,   9.17
202009,  -6.16,  -4.54,  -1.70,  -6.12,  -2.08,  -4.31
202010,   5.64,   3.26,   2.20,   0.01,  -1.92,  -2.64
202011,  26.95,  17.05,  18.06,  26.11,  13.64,  10.13
202012,  11.08,   7.43,   8.80,   6.42,   4.65,   4.05
202101,   5.10,   3.87,  14.08,   0.71,  -2.93,   0.74
202102,  12.81,  10.07,   6.90,   9.57,   4.59,  -0.30
202103,   4.87,   4.02,  -0.12,   6.81,   5.95,  -0.48
202104,   0.55,   2.18,   1.74,   3.73,   6.46,   4.74
202105,  -0.20,   1.71,   2.36,  -0.21,   1.03,  -1.01
202106,   1.95,  -0.08,   4.35,   1.31,   3.46,   3.30
202107,  -3.49,  -2.21,  -5.26,   2.26,   2.14,  -0.45
202108,   0.73,   2.44,   2.76,   1.86,   3.29,   4.89
202109,  -2.95,  -2.69,  -1.83,  -5.09,  -4.31,  -3.22
202110,   1.61,   3.35,   4.33,   4.23,   8.33,   7.90
202111,  -6.29,  -2.53,  -3.87,  -2.89,   0.25,  -3.52
202112,   2.45,   4.52,   1.98,   4.69,   5.25,  -0.04
202201, -10.05,  -5.48, -10.10,  -2.33,  -5.79,  -7.46
202202,  -0.52,   1.20,   2.53,  -1.92,  -3.42,  -1.44
202203,   0.41,   0.36,   1.59,  -0.17,   2.65,   4.64
202204, -14.57,  -7.67,  -7.26, -12.22,  -7.73,  -9.74
202205,  -2.74,   0.83,   1.72,  -0.93,   0.08,  -0.43
202206,  -7.48,  -6.01, -10.11, -11.59,  -7.99,  -7.36
202207,  11.87,   9.82,   9.73,  14.47,   8.72,   8.70
202208,  -1.32,  -2.42,   0.36,  -4.18,  -4.72,  -1.67


  Average Equal Weighted Returns -- Monthly
,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
192701,   1.90,   3.05,  -0.83,   0.42,   0.68,   0.94
192702,   6.59,   6.82,   5.75,   8.21,   5.07,   5.04
192703,  -4.78,  -0.98,  -3.25,  -3.72,  -1.22,   0.41
192704,   1.38,  -0.68,   3.95,  -1.90,   0.71,   1.10
192705,   3.07,  11.03,   7.87,   5.89,   4.79,   8.61
192706,  -2.85,  -0.83,  -2.63,  -4.97,  -1.82,  -1.62
192707,   5.16,   4.94,   6.40,   6.36,   6.61,   6.68
192708,  -0.59,  -0.68,   0.14,   1.39,   2.15,  -0.33
192709,   1.23,  -0.20,   2.81,   2.81,   4.41,   6.20
192710,  -5.86,  -2.72,  -3.74,  -4.06,  -3.48,  -3.09
192711,  17.76,  10.13,   7.38,   9.10,   6.94,   8.02
192712,   1.92,   5.29,   4.14,   3.53,   2.71,   3.31
192801,   4.57,   7.12,   6.64,  -0.57,   0.86,   1.43
192802,  -1.97,  -1.10,  -5.90,  -3.19,  -1.53,  -3.29
192803,   6.60,   6.61,   7.12,   8.55,   5.28,  10.02
192804,  13.16,  16.36,   6.82,   6.46,   5.47,   4.30
192805,   7.59,   3.82,   6.88,   1.50,   0.56,   2.98
192806,  -8.89,  -8.32,  -8.42,  -5.97,  -4.37,  -6.06
192807,  -1.57,  -0.09,   0.23,  -0.58,   1.09,   1.77
192808,   4.48,   2.71,   5.34,   5.20,   7.18,  10.54
192809,   5.68,   5.84,   7.12,   2.91,   3.39,   5.81
192810,   0.48,   0.28,   6.76,  -0.58,   0.44,   3.43
192811,  10.49,  13.62,  10.96,   8.81,  11.51,  15.45
192812,  -3.15,   0.80,  -3.78,   0.50,   0.22,   2.85
192901,   1.22,   0.98,   5.10,   3.72,   4.69,   3.96
192902,  -1.09,   1.61,   3.32,   0.19,  -0.39,   1.67
192903,  -4.95,  -5.85,  -0.06,  -0.13,  -1.54,  -2.78
192904,   1.44,  -0.31,   1.51,  -2.36,   1.95,   2.97
192905, -12.43, -10.61, -13.43,  -4.35,  -4.81,  -8.40
192906,   4.44,   5.08,  10.05,   4.13,   7.48,  14.02
192907,  -0.43,  -0.93,   1.30,   1.27,   4.32,   3.15
192908,  -2.02,   0.68,   2.67,   3.58,   4.32,   7.95
192909,  -6.73,  -4.98,  -2.50,  -7.87,  -2.98,  -2.64
192910, -21.11, -20.00, -24.94, -26.62, -14.81, -21.64
192911, -12.17, -11.07, -13.79, -12.54,  -8.79, -13.44
192912, -10.13,  -4.23,  -0.23,  -2.22,  -0.93,   2.95
193001,  21.50,   9.62,   8.35,  11.08,   7.33,   4.63
193002,   4.72,   3.91,   3.75,   2.83,   1.24,   2.33
193003,  18.23,   8.96,   8.00,   8.01,   8.15,   6.69
193004,  -5.65,  -7.11,  -2.59,  -4.80,  -5.45,  -2.04
193005,  -8.35,  -3.45,  -2.87,  -1.92,  -2.46,  -1.42
193006, -23.50, -19.11, -17.58, -21.84, -16.28, -15.20
193007,   3.72,   3.07,   3.06,   7.84,   4.60,   2.97
193008,  -3.94,  -2.70,  -0.32,  -3.27,  -0.44,  -0.04
193009, -20.34, -15.48, -10.11, -22.03, -13.77, -10.60
193010, -11.32,  -8.95,  -8.08, -15.04, -10.13,  -7.71
193011,  -2.02,  -2.53,  -1.31,   1.31,  -2.73,  -1.95
193012, -22.30, -17.13, -10.19, -15.10, -11.09,  -5.67
193101,  28.68,  15.90,  12.74,  11.57,   9.45,   5.23
193102,  23.73,  18.89,  11.30,  20.29,  13.97,   7.23
193103,  -9.15,  -3.51,  -1.70, -13.56,  -9.25,  -2.17
193104, -21.19, -16.74, -11.33, -18.86, -15.23,  -9.10
193105, -16.45, -13.35,  -7.30, -21.34, -15.60, -10.88
193106,  25.15,  19.48,  10.84,  30.79,  19.30,  10.03
193107,  -9.49,  -6.05,  -2.39, -13.89,  -8.44,  -2.87
193108,  -2.30,  -3.87,  -4.20,   1.72,  -1.52,  -0.10
193109, -35.90, -28.62, -29.10, -37.26, -32.48, -25.73
193110,  10.82,  10.38,  14.21,   9.76,   9.44,   9.92
193111, -10.63,  -7.11,  -8.66, -17.19,  -9.53,  -4.50
193112, -25.24, -21.77, -16.71, -25.96, -16.73,  -9.01
193201,  20.76,  14.92,   6.88,  10.13,   1.25,  -0.55
193202,   0.49,   0.22,   5.68,   0.45,   2.75,   3.28
193203, -15.36, -10.52,  -8.18, -20.19, -13.54,  -7.37
193204, -20.45, -19.25, -15.45, -21.65, -19.12, -13.73
193205, -16.02, -16.76, -17.30, -34.77, -24.49, -19.37
193206,   5.31,   4.41,   5.93,   3.95,   1.39,   4.34
193207,  62.65,  47.57,  17.40,  71.13,  40.73,  22.86
193208, 108.79,  83.93,  54.66,  86.03,  47.18,  25.00
193209,  -7.38,  -8.96,  -8.52,  -6.82,  -3.28,  -2.66
193210, -16.15, -16.60, -19.29, -19.95, -15.14, -14.89
193211,  -3.13,  -9.68,  -6.70,  -9.04,  -6.68,  -6.13
193212, -10.74,  -9.33,  -5.01,  -1.25,   1.40,   2.83
193301,   6.72,   6.59,  -0.03,   2.34,   1.98,   3.65
193302, -17.43, -16.73,  -9.69, -20.17, -16.47, -14.09
193303,  12.51,  14.31,  14.23,   3.06,   8.23,   8.42
193304,  56.03,  53.27,  60.18,  59.84,  51.43,  41.10
193305,  90.21,  91.08,  83.29,  37.54,  33.56,  28.51
193306,  33.49,  29.01,  26.32,  12.24,  13.86,  17.31
193307,  -8.43,  -8.41,  -7.88, -10.41, -11.79, -11.35
193308,   4.83,   9.36,   8.89,   9.01,  16.76,  19.58
193309, -19.42, -16.70, -16.70, -17.19, -10.96, -11.11
193310, -10.34, -12.87, -12.04, -10.35,  -9.69, -10.42
193311,   1.42,   6.66,   5.31,   5.89,   9.89,   9.66
193312,  -1.13,   1.86,   1.43,   1.21,   2.94,   4.94
193401,  51.44,  42.36,  40.22,  25.08,  18.67,  16.29
193402,   2.99,   3.40,   4.03,  -1.96,  -1.11,  -1.72
193403,   3.26,  -0.29,   1.59,  -0.83,   0.73,   1.35
193404,   1.89,   2.45,   0.52,   0.98,  -1.97,  -5.29
193405, -11.77, -12.61, -13.68,  -7.87,  -9.64, -10.30
193406,  -2.57,  -1.36,  -2.51,   1.57,   2.92,   3.23
193407, -22.16, -25.14, -21.13, -23.56, -15.47,  -9.89
193408,  11.39,  12.70,  15.53,   7.45,   6.58,   7.94
193409,  -3.87,  -0.45,  -0.97,   0.66,  -1.60,  -0.01
193410,  -6.26,  -1.96,   4.06,  -5.25,  -1.94,   0.59
193411,  13.82,  15.32,  19.30,   9.29,  10.95,  11.16
193412,   0.32,   0.31,   6.70,  -1.47,   1.35,   2.47
193501,  -1.93,  -1.29,  -3.71,  -7.81,  -4.16,  -1.82
193502, -13.98,  -5.19,  -3.21, -13.58,  -3.98,   3.17
193503, -11.70, -10.39,  -7.02,  -4.54,  -5.44,  -3.47
193504,  12.90,  10.35,   9.75,  11.56,   9.81,   6.39
193505,   2.43,   1.73,   1.82,   7.93,   2.86,   1.56
193506,  -0.84,   2.72,   6.32,   7.61,   6.92,   6.36
193507,  15.04,  12.51,  11.95,  13.88,   7.39,   7.55
193508,  20.09,   8.83,   6.42,  12.30,   1.41,   2.90
193509,  -2.34,   4.88,  10.44,  -4.22,   1.62,   4.33
193510,   9.16,   8.72,  10.07,   4.42,   7.53,   9.67
193511,  34.69,  16.88,  15.29,   9.09,   5.52,   5.27
193512,   2.37,   6.38,   9.61,   5.03,   5.74,   7.46
193601,  27.48,  19.93,  19.27,   7.00,   7.32,  10.04
193602,   1.75,   8.58,   7.71,   2.06,   3.49,   2.98
193603,  -0.02,  -0.29,   1.95,   0.38,   0.75,   2.24
193604,  -8.22, -17.28, -18.50,  -6.38, -10.47, -12.57
193605,   4.29,   5.21,   7.03,   2.89,   5.21,   7.16
193606,  -1.31,  -0.77,  -1.66,   0.74,   1.70,   0.65
193607,   6.57,   8.77,   8.66,   3.51,   8.97,  11.40
193608,   1.24,   1.74,   3.68,   1.18,   3.25,   1.61
193609,   4.86,   4.45,   4.55,   1.84,   1.64,   2.58
193610,   6.21,   8.59,   6.42,   4.99,   5.84,   7.20
193611,  13.09,  13.84,  13.28,   4.72,   4.23,   6.32
193612,   3.36,   5.30,   3.02,  -0.41,   0.94,   3.88
193701,  11.85,  12.29,  10.74,   3.69,   4.16,   5.09
193702,   2.11,   3.92,   4.91,   0.55,   1.73,   3.05
193703,  -0.19,  -0.70,  -0.03,  -0.86,   0.18,   1.79
193704, -12.53, -11.15, -13.43,  -7.26,  -7.20, -11.10
193705,  -4.22,  -2.69,  -2.16,  -2.21,  -1.87,  -1.52
193706, -11.29,  -8.43, -10.92,  -5.08,  -5.40,  -5.45
193707,  12.39,  10.43,  10.87,   9.78,   8.60,   9.40
193708,  -6.60,  -4.67,  -6.81,  -5.70,  -4.01,  -5.57
193709, -21.35, -20.60, -24.86, -14.14, -15.59, -21.66
193710,  -8.91, -10.05, -10.94,  -8.64,  -9.83, -11.95
193711, -13.61, -12.26, -11.82,  -7.96,  -9.01, -10.09
193712, -15.16, -12.09, -12.20,  -8.94,  -8.34,  -5.27
193801,   8.40,   5.63,   4.72,   1.33,   1.75,   1.68
193802,   4.67,   6.91,   3.14,   9.64,   8.30,   5.60
193803, -35.21, -30.13, -23.27, -36.55, -29.90, -20.53
193804,  25.96,  22.18,  19.27,  24.29,  19.54,  14.26
193805,  -9.86,  -8.00,  -3.07,  -9.35,  -7.96,  -3.26
193806,  37.25,  35.45,  16.11,  45.84,  35.22,  18.27
193807,  16.87,  13.60,  12.29,  15.92,  10.13,   7.05
193808, -10.57,  -8.62,  -3.83,  -6.04,  -5.09,  -2.51
193809,  -3.51,  -2.47,  -0.03,  -2.14,  -0.35,   0.09
193810,  17.99,  17.79,  14.67,  19.18,  10.23,   9.19
193811,  -8.37,  -4.94,  -0.68,  -4.55,  -1.81,  -1.20
193812,   0.00,   1.75,   3.80,   3.96,   4.85,   5.95
193901,  -5.85,  -8.26,  -9.81,  -6.93,  -7.09,  -8.44
193902,   2.96,   3.82,   6.08,   1.85,   4.31,   5.66
193903, -17.79, -19.43, -20.88, -15.99, -14.84, -17.05
193904,  -2.32,   1.24,   3.64,  -0.71,  -0.13,   0.01
193905,   7.48,   8.49,  11.23,   5.59,   8.32,   9.86
193906, -10.08,  -9.79,  -9.55,  -8.81,  -6.58,  -6.88
193907,  13.53,  15.29,  14.71,  15.46,  12.52,  12.36
193908, -12.08, -12.44,  -9.44, -13.45, -10.07,  -7.63
193909,  81.75,  44.55,  27.89,  37.64,  26.05,  12.57
193910,  -5.21,   0.36,   1.77,  -3.55,  -1.38,   3.35
193911,  -8.24, -11.41, -13.11,  -7.56,  -4.97,  -5.83
193912,  -1.82,   0.03,   2.19,   0.03,   3.57,   4.83
194001,  -1.87,  -1.44,  -2.35,  -3.50,  -3.10,  -0.26
194002,   2.75,   4.24,   6.41,  -0.06,   2.07,   2.91
194003,   2.64,   3.66,   2.44,   2.46,   1.78,   3.40
194004,  -1.52,   1.93,   5.91,  -2.66,   0.03,   4.23
194005, -28.10, -29.25, -29.22, -27.93, -23.24, -26.16
194006,   6.26,   6.23,   6.40,  10.17,   6.64,   5.64
194007,   2.58,   3.44,   4.95,   4.14,   3.50,   4.36
194008,   1.57,   2.89,   1.98,   4.34,   1.46,   1.93
194009,   4.09,   4.99,   4.47,   3.08,   3.47,   2.75
194010,   5.06,   4.28,   4.50,  10.71,   5.21,   2.98
194011,  -0.52,   0.97,   2.45,  -3.34,  -0.69,  -0.35
194012,  -7.61,  -1.80,   0.81,  -0.33,  -0.79,   1.25
194101,  10.58,  -1.68,  -2.66,  -1.95,  -4.26,  -4.99
194102,  -2.72,  -1.57,  -2.13,  -1.93,  -1.51,  -1.75
194103,   1.46,   1.81,   2.78,   0.07,   0.51,   1.14
194104,  -7.73,  -6.62,  -2.82,  -8.46,  -5.29,  -4.23
194105,  -0.21,   1.01,   2.43,   0.21,   1.57,   1.51
194106,   7.85,   6.57,   8.15,   6.03,   5.74,   5.88
194107,  23.99,  13.86,  12.38,   8.26,   8.41,   9.62
194108,  -2.64,   0.01,   0.10,  -1.46,   0.27,  -0.53
194109,  -2.76,  -2.96,  -2.60,  -0.15,  -1.68,  -1.68
194110,  -9.05,  -6.44,  -4.45,  -7.85,  -5.88,  -3.45
194111,  -7.78,  -4.16,  -1.84,  -3.98,  -2.14,  -0.15
194112, -13.27, -10.60, -10.13,  -6.36,  -4.10,  -5.47
194201,  28.19,  16.19,  19.54,   5.25,   3.19,   4.00
194202,   0.15,  -1.61,  -1.06,  -2.35,  -2.28,  -1.81
194203,  -3.03,  -5.44,  -5.56,  -6.67,  -5.21,  -5.99
194204,  -4.19,  -4.51,  -3.48,  -3.61,  -6.02,  -4.60
194205,   2.76,   1.52,  -0.64,   8.63,   3.49,   2.27
194206,   3.12,   2.84,   1.21,   3.10,   2.75,   1.51
194207,   5.26,   4.67,   5.80,   2.85,   4.43,   4.74
194208,   3.94,   3.53,   2.64,   1.61,   1.96,   3.11
194209,   7.46,   4.60,   7.95,   3.33,   2.24,   3.35
194210,  16.67,   9.13,   7.87,  10.19,   7.51,   7.20
194211,  -2.64,   0.38,  -4.18,  -0.83,  -1.35,   0.22
194212,   1.51,   1.32,   2.15,   4.34,   5.42,   6.46
194301,  19.58,  19.12,  32.76,   9.82,   8.33,   8.59
194302,  25.81,  18.43,  10.52,   6.91,   6.98,   8.60
194303,  11.66,  12.42,  16.49,   8.13,   7.62,  11.42
194304,   1.04,   4.62,   9.34,  -0.91,   0.95,   6.56
194305,   7.43,   8.96,  14.32,   4.10,   5.48,  10.42
194306,   1.67,   1.58,  -0.56,   1.23,   2.63,  -0.07
194307,  -5.09,  -5.45,  -9.67,  -3.12,  -6.24, -10.15
194308,  -1.39,  -0.42,  -0.36,   0.44,   2.11,   1.24
194309,   2.13,   4.25,   5.23,   2.15,   3.10,   3.71
194310,   0.76,  -0.12,  -0.32,  -0.38,  -1.05,  -0.73
194311,  -8.94,  -9.30, -12.73,  -7.08,  -5.71, -11.56
194312,   9.32,   9.76,  13.39,   6.15,   8.12,  14.73
194401,   5.11,   6.13,   7.13,   2.74,   2.54,   2.46
194402,   1.16,   1.96,   3.28,   0.85,   0.90,   0.11
194403,   4.49,   3.68,   6.77,   1.73,   3.16,   5.34
194404,  -4.36,  -2.83,  -3.21,  -3.20,  -2.37,  -2.03
194405,   6.33,   7.13,   8.05,   4.40,   6.25,   7.34
194406,  19.34,  10.67,   9.06,  10.91,   7.25,   5.57
194407,  -1.92,  -0.72,  -1.05,  -1.40,  -1.13,  -1.71
194408,   1.49,   2.87,   6.58,   0.93,   2.05,   4.96
194409,   0.13,   0.41,  -0.66,   0.54,  -0.35,  -0.32
194410,  -0.82,   1.07,   0.01,   0.71,  -0.05,  -1.69
194411,   2.16,   2.91,   3.36,   1.87,   1.70,   2.22
194412,   8.59,   8.34,   8.45,   4.17,   5.18,   9.59
194501,   5.24,   4.00,   7.83,   3.29,   2.89,   2.86
194502,   8.42,   8.89,  11.30,   6.51,   7.36,   8.75
194503,  -4.53,  -6.21,  -8.42,  -3.56,  -4.78,  -6.07
194504,   6.51,   8.80,  10.58,   7.42,   8.89,  11.57
194505,   4.51,   3.40,   4.02,   2.29,   1.60,   2.52
194506,   4.93,   3.91,   7.19,   0.18,   0.85,   6.51
194507,  -3.51,  -3.57,  -4.11,  -2.63,  -2.34,  -5.26
